business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
"HAUL OR NOTHING TRUCKING, LLC",L26000106510,Florida Limited Liability Company,02/19/2026,Active,"1300 LAKE ARIANA BLVD, AUBURNDALE, FL 33823","1300 LAKE ARIANA BLVD, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,INC AUTHORITY RA,SHEENA CONRAD,MGR,
HANSEL'S PRO WASH SOLUTIONS LLC,L26000105701,Florida Limited Liability Company,02/20/2026,Active,"3725 COUNTRY LN, LAKELAND, FL 33810","3725 COUNTRY LN, LAKELAND, FL 33810",LAKELAND,FL,33810,DIAZ LEMUZ HANSEL,HANSEL DIAZ LEMUS,MGR,
"AUGMENTO V, LLC",L26000105841,Florida Limited Liability Company,02/15/2026,Active,"2551 HERITAGE GREEN A, DAVENPORT, FL 33837","2551 HERITAGE GREEN A, DAVENPORT, FL 33837",DAVENPORT,FL,33837,PUSATERI TOMMASO,,,
INSTABID LLC,L26000106961,Florida Limited Liability Company,02/19/2026,Active,"7574 GUNSTOCK DR, LAKELAND,, FL 33809","7574 GUNSTOCK DR, LAKELAND,, FL 33809","LAKELAND,",FL,33809,WATERS BAYLEE L,JAMES CAREY,AMBR,
BLUE MOON FC LLC,L26000107221,Florida Limited Liability Company,02/20/2026,Active,"127 E ALAMO DR, LAKELAND, FL 33813","127 E ALAMO DR, LAKELAND, FL 33813",LAKELAND,FL,33813,CHEN YAN LIN,YAN LIN CHEN,AMBR,
"BULLFOOT CREEK CABIN, LLC",L26000107271,Florida Limited Liability Company,03/02/2026,Active,"200 E. STUART AVE., LAKE WALES, FL 33853","200 E. STUART AVE., LAKE WALES, FL 33853",LAKE WALES,FL,33853,JAHNA E. ELIAS,E. ELIAS JAHNA,MGR,
WINTER HAVEN AI LLC,L26000107601,Florida Limited Liability Company,02/20/2026,Active,"2408 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884","2408 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,BOWERS PHILLIP L,PHILLIP L BOWERS,MGR,
LOUDITSURLIFE LLC,L26000108161,Florida Limited Liability Company,02/20/2026,Active,"815 CHINOY RD, DAVENPORT, FL 33837","815 CHINOY RD, DAVENPORT 33837",DAVENPORT,FL,33837,DELEON VASQUEZ LUIS,,,
RENUEVO LEARNING LLC,L26000108371,Florida Limited Liability Company,02/20/2026,Active,"740 W MAIN ST, HAINES CITY, FL 33844","3813 CARRICK BEND, KISSIMMEE, FL 34746",HAINES CITY,FL,33844,GARCIA EILEEN,EILEEN GARCIA,MGR,
SPOOLHOUSE GARAGE LLC,L26000106142,Florida Limited Liability Company,02/19/2026,Active,"5827 LAKEWOOD LN, LAKELAND, FL 33805","5827 LAKEWOOD LN, LAKELAND, FL 33805",LAKELAND,FL,33805,MASON RYAN,RYAN MASON,AMBR,
2310 NSB LLC,L26000106412,Florida Limited Liability Company,02/19/2026,Active,"6702 HUNTINGTON HILLS BLVD, LAKELAND, FL 33810","6702 HUNTINGTON HILLS BLVD, LAKELAND, FL 33810",LAKELAND,FL,33810,TRUONG JENNY H,JENNY H TRUONG,MGR,
STORMLINE WINDOWS & DOORS LLC,L26000106882,Florida Limited Liability Company,03/04/2026,Active,"2208 TONGASS BEN, DAVENPORT, FL 33837","2208 TONGASS BEN, DAVENPORT, FL 33837",DAVENPORT,FL,33837,ARQUIMEDES JOSE LUCES GIL,ARQUIMEDES JOSE LUCE S GIL,MGR,
WALFAN INTERNATIONAL NETWORK LLC,L26000107132,Florida Limited Liability Company,02/20/2026,Active,"1443 SAGUARO ST, DAVENPORT, FL 33837","1443 SAGUARO ST, DAVENPORT, FL 33837",DAVENPORT,FL,33837,"UNITED STATES CORPORATION AGENTS, INC.",WALLENSON NOBERT,AMBR,
REVS VIBES LLC,L26000107312,Florida Limited Liability Company,02/19/2026,Active,"1353 YORKDALE RD, DAVENPORT, FL 33837","1353 YORKDALE RD, DAVENPORT, FL 33837",DAVENPORT,FL,33837,CASTILLO DAVID,DAVID CASTILLO PABA,MGR,
